GEO_ID,NAME,P1_001N
1000000US361090006003029,"Block 3029, Block Group 3, Census Tract 6, Tompkins County, New York",16
1000000US361090006003030,"Block 3030, Block Group 3, Census Tract 6, Tompkins County, New York",3
1000000US361090006003031,"Block 3031, Block Group 3, Census Tract 6, Tompkins County, New York",60
1000000US361090006003032,"Block 3032, Block Group 3, Census Tract 6, Tompkins County, New York",34
1000000US361090006004000,"Block 4000, Block Group 4, Census Tract 6, Tompkins County, New York",22
1000000US361090006004001,"Block 4001, Block Group 4, Census Tract 6, Tompkins County, New York",29
1000000US361090006004002,"Block 4002, Block Group 4, Census Tract 6, Tompkins County, New York",7
1000000US361090006004003,"Block 4003, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004004,"Block 4004, Block Group 4, Census Tract 6, Tompkins County, New York",6
1000000US361090006004005,"Block 4005, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004006,"Block 4006, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004007,"Block 4007, Block Group 4, Census Tract 6, Tompkins County, New York",13
1000000US361090006004008,"Block 4008, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004009,"Block 4009, Block Group 4, Census Tract 6, Tompkins County, New York",107
1000000US361090006004010,"Block 4010, Block Group 4, Census Tract 6, Tompkins County, New York",19
1000000US361090006004011,"Block 4011, Block Group 4, Census Tract 6, Tompkins County, New York",16
1000000US361090006004012,"Block 4012, Block Group 4, Census Tract 6, Tompkins County, New York",18
1000000US361090006004013,"Block 4013, Block Group 4, Census Tract 6, Tompkins County, New York",42
1000000US361090006004014,"Block 4014, Block Group 4, Census Tract 6, Tompkins County, New York",20
1000000US361090006004015,"Block 4015, Block Group 4, Census Tract 6, Tompkins County, New York",25
1000000US361090006004016,"Block 4016, Block Group 4, Census Tract 6, Tompkins County, New York",16
1000000US361090006004017,"Block 4017, Block Group 4, Census Tract 6, Tompkins County, New York",32
1000000US361090006004018,"Block 4018, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004019,"Block 4019, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004020,"Block 4020, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004021,"Block 4021, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004022,"Block 4022, Block Group 4, Census Tract 6, Tompkins County, New York",142
1000000US361090006004023,"Block 4023, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004024,"Block 4024, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004025,"Block 4025, Block Group 4, Census Tract 6, Tompkins County, New York",50
1000000US361090006004026,"Block 4026, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004027,"Block 4027, Block Group 4, Census Tract 6, Tompkins County, New York",13
1000000US361090006004028,"Block 4028, Block Group 4, Census Tract 6, Tompkins County, New York",7
1000000US361090006004029,"Block 4029, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004030,"Block 4030, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004031,"Block 4031, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004032,"Block 4032, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004033,"Block 4033, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004034,"Block 4034, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004035,"Block 4035, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004036,"Block 4036, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004037,"Block 4037, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004038,"Block 4038, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004039,"Block 4039, Block Group 4, Census Tract 6, Tompkins County, New York",38
1000000US361090006004040,"Block 4040, Block Group 4, Census Tract 6, Tompkins County, New York",41
1000000US361090006004041,"Block 4041, Block Group 4, Census Tract 6, Tompkins County, New York",0
1000000US361090006004042,"Block 4042, Block Group 4, Census Tract 6, Tompkins County, New York",29
1000000US361090006004043,"Block 4043, Block Group 4, Census Tract 6, Tompkins County, New York",117
1000000US361090006004044,"Block 4044, Block Group 4, Census Tract 6, Tompkins County, New York",22
1000000US361090006004045,"Block 4045, Block Group 4, Census Tract 6, Tompkins County, New York",12
